tts_adapter,tts_model_or_voice,model,prompt_strategy,target_class,saturation_level,text_type,candidate_count,synthesis_success_rate,suitable_for_audio_eval_rate,average_duration_seconds,average_rms,average_clipping_rate,sample_rate_compliance_rate,format_compliance_rate
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,S,50.0,sentence,1,1.0,1.0,1.53325,4375.923056015192,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,S,50.0,sentence,4,1.0,1.0,1.434546875,3837.8658316221613,4.357556324985804e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,S,70.0,sentence,5,1.0,1.0,1.4589375,4141.358930967677,2.627217256822416e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SN,50.0,sentence,2,1.0,1.0,1.62034375,5077.346644342997,4.124034437799243e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,SN,50.0,sentence,3,1.0,1.0,1.4171458333333333,5838.41467868553,1.741098633237573e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SN,70.0,sentence,1,1.0,1.0,1.126875,4907.329221138186,5.5463117027176924e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,SN,70.0,sentence,4,1.0,1.0,1.21978125,4634.23342248275,1.169645363525779e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,SV,50.0,sentence,3,1.0,1.0,1.4558333333333333,5028.277589558924,4.2977254788852314e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SV,50.0,sentence,2,1.0,1.0,1.84090625,5622.183128800433,1.5643576747387522e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SV,70.0,sentence,4,1.0,1.0,1.495515625,4910.719358775424,4.187813729381394e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,SV,70.0,sentence,1,1.0,1.0,1.4751875,4169.041425621693,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,V,50.0,sentence,4,1.0,1.0,1.6986875,5283.617240636004,2.7318836703782266e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,V,50.0,sentence,1,1.0,1.0,1.544875,5802.949243894783,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,V,70.0,sentence,4,1.0,1.0,1.602921875,5832.10996269244,2.9040313604449937e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,strict_plain_list,V,70.0,sentence,1,1.0,1.0,1.335875,4079.043379332268,0.0,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,N,50.0,word,5,1.0,1.0,0.9620124999999999,4067.51637251199,3.962090745093158e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,N,70.0,word,5,1.0,1.0,0.9550750000000001,4440.975826193057,3.812935405354677e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,S,50.0,word,5,1.0,1.0,0.9457625000000001,3702.805292667992,5.271895906409738e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,S,70.0,word,1,1.0,1.0,1.1153125,3800.434889221509,5.6038105912020176e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SN,50.0,word,5,1.0,1.0,0.9295125000000001,4199.9797241091965,5.3460133458498755e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SN,70.0,word,5,1.0,1.0,0.913275,4615.302599407472,4.403043591900616e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SV,50.0,word,5,1.0,1.0,0.98525,4177.831012677676,3.942177232728716e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,SV,70.0,word,5,1.0,1.0,0.9945499999999999,4570.142633392883,6.351836122690979e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,V,50.0,word,5,1.0,1.0,1.041,5315.984576467425,3.450421721974037e-05,1.0,1.0
coqui_vits_hr,tts_models/hr/cv/vits,ChatGPT Plus,paper_style,V,70.0,word,5,1.0,1.0,1.2221,6012.0300003386055,5.136437611113352e-05,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,N,50.0,sentence,3,1.0,1.0,1.5253333333333332,346.68928196925157,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,N,50.0,sentence,2,1.0,1.0,1.744,375.38925452054093,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,N,70.0,sentence,3,1.0,1.0,1.5253333333333334,377.3189186797602,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,N,70.0,sentence,2,1.0,1.0,1.3599999999999999,290.6528176968352,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,S,50.0,sentence,1,1.0,1.0,1.376,654.3668854725553,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,S,50.0,sentence,4,1.0,1.0,1.488,532.4900138333063,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,S,70.0,sentence,5,1.0,1.0,1.6384,546.3131000253553,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SN,50.0,sentence,2,1.0,1.0,1.216,678.9033465353858,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,SN,50.0,sentence,3,1.0,1.0,1.312,596.7089496299349,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SN,70.0,sentence,1,1.0,1.0,1.056,720.9397614766648,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,SN,70.0,sentence,4,1.0,1.0,1.1600000000000001,626.5082974026684,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,SV,50.0,sentence,3,1.0,1.0,3.0293333333333337,326.9121584545785,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SV,50.0,sentence,2,1.0,1.0,4.176,493.67807802599646,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SV,70.0,sentence,4,1.0,1.0,3.7439999999999998,460.08411480987047,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,SV,70.0,sentence,1,1.0,1.0,3.776,250.25082474989605,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,V,50.0,sentence,4,1.0,1.0,1.4,406.4164527535195,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,V,50.0,sentence,1,1.0,1.0,1.568,341.73070281461906,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,V,70.0,sentence,4,1.0,1.0,1.408,386.6676513047778,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,strict_plain_list,V,70.0,sentence,1,1.0,1.0,1.472,368.8319461498412,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,N,50.0,word,5,1.0,1.0,0.736,341.99039685400487,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,N,70.0,word,5,1.0,1.0,0.7232000000000001,400.82058202719793,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,S,50.0,word,5,1.0,1.0,0.7616,665.060663374951,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,S,70.0,word,1,1.0,1.0,0.64,696.5922769403697,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SN,50.0,word,5,1.0,1.0,0.7744,533.1210550568501,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SN,70.0,word,5,1.0,1.0,0.8320000000000001,667.7587248780419,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SV,50.0,word,5,1.0,1.0,0.9663999999999999,407.3883770697906,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,SV,70.0,word,5,1.0,1.0,0.9408,633.360691550279,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,V,50.0,word,5,1.0,1.0,0.8768,590.2827135777657,0.0,1.0,1.0
speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,ChatGPT Plus,paper_style,V,70.0,word,5,1.0,1.0,0.9152000000000001,470.3731116513375,0.0,1.0,1.0
