word,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,hjp_valid,hjp_entry_checked,reviewer,reviewer_notes
jede,4,Teta jede trešnje. | Teta jede jetru. | Dijete jede češće. | Dijete jede trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
jedu,1,Tete jedu trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
jelek,1,Teta šije jelek.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
jetru,2,Teta jede jetru. | Teta štedje jetru.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
jež,4,jež,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
kadar,28,kadar | Kadar radi kraj grada. | Kratak kadar daje rad. | Radar daje kratak kadar. | Kadar rada daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
kamara,2,Rak radi kraj kamara. | Rak čeka kraj kamara.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
karakter,1,karakter,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
karka,1,karka,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
kava,1,Draga kava daje rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
kave,1,Kadar kave daje rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
kopa,1,Rak kopa kraj draga.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
kraj,8,Radar radi kraj grada. | Rak radi kraj kamara. | Kadar radi kraj grada. | Rak kopa kraj draga. | Radar gleda kraj grada.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
kratak,13,kratak | Kratak kadar daje rad. | Radar daje kratak kadar. | Kratak rad daje dar. | Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
krava,2,Krava pase kraj grada. | Draga krava pase.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
kupuje,2,Mama kupuje bundu. | Mama kupuje pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
kuću,1,Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
kći,1,Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
logo,5,logo,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
logor,1,Golub voli logor.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
lov,11,lov | Lovac voli lov. | Vuk voli lov. | Vol voli lov. | Gol vol voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
lovac,4,Lovac lovi goluba. | Lovac voli lov. | Lovac lovi vuka. | Glog gleda lovac.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
lovca,1,Golub gleda lovca.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
love,1,Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
lovi,2,Lovac lovi goluba. | Lovac lovi vuka.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
lovor,15,lovor | Golub voli lovor. | Lovor voli vlagu. | Lovor gleda golub. | Vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
lovora,1,Vol voli lovora.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
mama,10,Mama puni bunar. | Mama kupuje bundu. | Mama nosi pumpu. | Mama kupuje pumpu. | Mama nudi bombon.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
mami,1,Unuk pomaže mami.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
munja,1,munja,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
munju,1,Pumpa ima punu munju.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
nagrada,1,nagrada,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
napuniti,2,napuniti,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
nosi,5,Mama nosi pumpu. | Mama nosi bundu. | Beba nosi bundu. | Beba nosi bubanj. | Unuk nosi bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
nudi,3,Mama nudi bombon. | Beba nudi bananu. | Unuk nudi punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
ohol,9,ohol | Ohol golub guguće. | Ohol golub voli lovor. | Ohol golub voli glog. | Ohol vol voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
opnu,1,Bubanj ima punu opnu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
pase,2,Krava pase kraj grada. | Draga krava pase.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
pere,1,Mama pere bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
piše,2,Teta piše teze. | Dijete piše test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
pomaže,6,Mama pomaže unuku. | Unuk pomaže mami. | Puna pumpa pomaže bunaru. | Puna pumpa puno pomaže. | Bubanj puno pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
psi,18,Sivi psi sjede. | Sin i psi sjede. | Sivi psi sikću. | Psi i zec sjede. | Psi sjede iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
pumpa,13,pumpa | Pumpa puni bazen. | Pumpa puni bocu. | Puna pumpa puni pumpu. | Pumpa puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
pumpu,8,Mama nosi pumpu. | Mama kupuje pumpu. | Bunar ima pumpu. | Puna pumpa puni pumpu. | Pumpa puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
pun,8,pun | Pumpu puni pun unuk. | Unuk ima pun bubanj. | Bubanj puni pun bunar. | Pun bubanj puno bruji.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
puna,8,puna | Puna pumpa puni pumpu. | Puna pumpa puni bunar. | Puna pumpa pomaže bunaru. | Puna pumpa puno pomaže.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
puni,15,Mama puni bunar. | Mama puni bocu. | Pumpa puni bazen. | Pumpa puni bocu. | Unuk puni bocu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
punim,1,punim,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
punina,3,punina,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
puniti,1,puniti,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
puno,3,Pun bubanj puno bruji. | Puna pumpa puno pomaže. | Bubanj puno pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
punom,2,punom | Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
punu,12,punu | Pumpa puni punu pumpu. | Bubanj puni punu sobu. | Unuk puni punu pumpu. | Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
pup,1,pup,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
pupak,1,pupak,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
pupnuti,2,pupnuti,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
pupoljak,1,pupoljak,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
pupom,1,pupom,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
pupu,1,pupu,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
rad,18,rad | Draga kava daje rad. | Kratak kadar daje rad. | Rad daje drag dar. | Kratak rad daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
rada,2,Kadar rada daje dar. | Radar rada daje kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
radar,16,radar | Radar radi kraj grada. | Radar daje kratak kadar. | Radar gleda kraj grada. | Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
radara,3,Dara radi kraj radara. | Rad radara daje kadar. | Kadar radara traje.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
radi,6,Radar radi kraj grada. | Rak radi kraj kamara. | Kadar radi kraj grada. | Draga Dara radi. | Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
rak,11,rak | Rak radi kraj kamara. | Rak kopa kraj draga. | Rak čeka kraj kamara. | Rak daje dar.,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,,,,
ratar,1,ratar,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
razrada,3,razrada,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
rađa,1,rađa,ChatGPT Plus,manual_csv,paper_style,S,word,,,,
rukom,1,Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
sici,1,sici,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sije,2,Sin sije sitno sjeme. | Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sijeno,1,Zec sisa sitno sijeno.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sikću,6,Sivi psi sikću. | Sin i zec sikću. | Sin i psi sikću. | Psi i zec sikću. | Sivi svisci sikću.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sin,17,sin | Sin i zec sjede. | Sin i psi sjede. | Sin visi iza zida. | Zec i sin sjede.,ChatGPT Plus,manual_csv,paper_style,V,sentence;word,,,,
sisa,5,sisa | Zec sisa sitno sijeno. | Sivi zec sisa.,ChatGPT Plus,manual_csv,paper_style,V,sentence;word,,,,
sisati,3,sisati,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sisavac,2,sisavac,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sisci,1,sisci,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sise,1,sise,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sisi,2,sisi,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sisic,1,sisic,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sisu,1,sisu,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sit,3,sit,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sitno,2,Sin sije sitno sjeme. | Zec sisa sitno sijeno.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
siv,3,siv,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
sivi,20,Sivi zec sjedi. | Sivi psi sjede. | Sivi zec visi. | Sivi psi sikću. | Sivi zec zijeva.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sići,2,sići,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
siđe,3,Sivi zec siđe. | Sin siđe iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
siđi,1,siđi,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
siđu,7,Psi siđu iza zida. | Sivi psi siđu. | Sin i zec siđu. | Sin i psi siđu. | Psi i zec siđu.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
siši,1,Sivi zec siši.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sišu,2,Sivi psi sišu. | Sivi svisci sišu.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sjede,6,Sivi psi sjede. | Sin i zec sjede. | Sin i psi sjede. | Zec i sin sjede. | Psi i zec sjede.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sjedi,3,Sivi zec sjedi. | Sin sjedi iza zida. | Zec sjedi iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sjeme,1,Sin sije sitno sjeme.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
sobu,1,Bubanj puni punu sobu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
stvara,3,Radar stvara kadar. | Rad stvara draž. | Kadar stvara rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
svisci,5,svisci | Sivi svisci vise. | Sivi svisci siđu. | Sivi svisci sikću. | Sivi svisci sišu.,ChatGPT Plus,manual_csv,paper_style,V,sentence;word,,,,
tekst,1,Dijete čita tekst.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
teku,1,Dječje teze teku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
test,3,Teta čita test. | Dijete piše test. | Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
teta,19,Teta čita teze. | Teta čita test. | Teta piše teze. | Teta šeće cestom. | Teta čisti četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
tete,5,tete | Tete češće šije. | Tete šetnje teče. | Tete jedu trešnje. | Tete češće teže.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
tetka,4,tetka,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tetke,1,tetke,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tetu,2,Četka čeka tetu. | Dijete čuje tetu.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
teze,4,Teta čita teze. | Teta piše teze. | Dječje teze teku. | Tezej čita teze.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
tezej,1,Tezej čita teze.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
teći,3,teći,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tečaj,8,tečaj | Tečaj teče četvrtkom. | Tečaj teče češće. | Češće teče tečaj.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
tečaje,4,tečaje | Teta šteđe tečaje. | Tečaje češće čuje. | Teta čuje tečaje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
tečajevi,1,tečajevi,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
teče,6,teče | Tečaj teče četvrtkom. | Teta teče češće. | Tete šetnje teče. | Tečaj teče češće.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
tečete,1,tečete,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
teže,1,Tete češće teže.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
tješe,1,tješe,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tješete,1,tješete,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tješitelj,2,tješitelj,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
tješiteljica,1,tješiteljica,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
traje,4,Kadar traje kratak čas. | Kratak kadar traje. | Kadar radara traje.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
traži,5,Radar traži kadar. | Rak traži kadar. | Rad traži kadar. | Radar traži draž. | Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,S;SV,sentence,,,,
trešnja,3,trešnja,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
trešnje,3,Teta jede trešnje. | Tete jedu trešnje. | Dijete jede trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
ulov,3,ulov,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
um,1,um,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
umu,1,umu,ChatGPT Plus,manual_csv,paper_style,N,word,,,,
unuk,12,unuk | Unuk puni bocu. | Unuk nosi bundu. | Unuk pomaže mami. | Unuk puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence;word,,,,
unuku,3,Mama pomaže unuku. | Bubanj puno pomaže unuku. | Puna bunda pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,,,,
vise,5,Sivi psi vise. | Sin i zec vise. | Sin i psi vise. | Psi i zec vise. | Sivi svisci vise.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
visi,4,visi | Sin visi iza zida. | Sivi zec visi.,ChatGPT Plus,manual_csv,paper_style,V,sentence;word,,,,
visina,3,visina,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
vlaga,3,vlaga,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
vlagu,4,Glog voli vlagu. | Lovor voli vlagu.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
vogal,4,vogal,ChatGPT Plus,manual_csv,paper_style,SN,word,,,,
vol,17,vol | Vol voli glog. | Vol gleda goluba. | Vol voli lovora. | Vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,sentence;word,,,,
vola,4,Golub gleda vola. | Vola gleda golub. | Golog vola vole. | Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
vole,1,Golog vola vole.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
voli,26,Golub voli lovor. | Golub voli glog. | Golub voli goluba. | Lovac voli lov. | Vol voli glog.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
volju,1,Golub voli volju.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
vuk,1,Vuk voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
vuka,1,Lovac lovi vuka.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,,,,
zec,22,zec | Sivi zec sjedi. | Sin i zec sjede. | Sivi zec visi. | Zec i sin sjede.,ChatGPT Plus,manual_csv,paper_style,V,sentence;word,,,,
zici,1,zici,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
zid,2,zid,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
zida,7,Sin visi iza zida. | Sin sjedi iza zida. | Zec sjedi iza zida. | Psi sjede iza zida. | Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
zidar,1,zidar,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
zijeva,1,Sivi zec zijeva.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
zijevaju,1,Sivi psi zijevaju.,ChatGPT Plus,manual_csv,paper_style,V,sentence,,,,
zima,2,zima,ChatGPT Plus,manual_csv,paper_style,V,word,,,,
čas,2,Kadar traje kratak čas.,ChatGPT Plus,manual_csv,paper_style,S,sentence,,,,
ček,1,ček,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
čeka,4,Rak čeka kraj kamara. | Radar čeka kadar. | Četka čeka tetu. | Teta čeka dijete.,ChatGPT Plus,manual_csv,paper_style,S;SV,sentence,,,,
čekaju,1,Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
čekati,2,čekati,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
čete,2,čete,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
četka,6,četka | Četka čeka tetu. | Teta četka janje. | Četka je čista.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
četke,1,Dječje četke čekaju.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
četku,2,Teta čisti četku. | Dijete traži četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
četvrta,1,Teta je četvrta.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
četvrtak,2,četvrtak,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
četvrtkom,2,Tečaj teče četvrtkom. | Teta čita četvrtkom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
češće,12,češće | Teta češće šije. | Teta teče češće. | Tete češće šije. | Tečaj teče češće.,ChatGPT Plus,manual_csv,paper_style,SV,sentence;word,,,,
čista,1,Četka je čista.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
čisti,1,Teta čisti četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
čita,6,Teta čita teze. | Teta čita test. | Dijete čita tekst. | Tezej čita teze. | Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
čuje,5,Tečaje češće čuje. | Teta čuje tečaje. | Dijete čuje tetu. | Teta šetnje čuje. | Teta češće čuje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
šeta,1,Dijete šeta cestom.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,,,,
šetač,1,šetač,ChatGPT Plus,manual_csv,paper_style,SV,word,,,,
