word,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,hjp_valid,hjp_entry_checked,reviewer,reviewer_notes
cijediti,1,cijediti,ChatGPT Plus,manual_csv,strict_plain_list,V,word,yes,,,
cika,2,cika,ChatGPT Plus,manual_csv,paper_style,V,word,yes,,,
ciku,6,ciku | Zec sisa ciku. | Sin sisa ciku | Zec sisi ciku. | Sin sisa ciku.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
cipele,2,Sin nosi cipele. | Sin nosi cipele,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
cvile,4,Sivi psi cvile. | Sivi psi cvile,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
cvjeta,2,Glog dugo cvjeta. | Glog dugo cvjeta,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
dabar,8,dabar | Dabar gradi branu. | Dabar gradi radar. | Dabar gradi grad.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
daje,10,Krava daje dar. | Rad daje dar. | Ratar daje dar. | Kadar daje dar. | Radar daje kadar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
danas,4,Radar radi danas. | Katarina radi danas. | Ratar radi danas.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
dar,18,dar | Dar drag raduje. | Kradljivac krade dar. | Krava daje dar. | Rad daje dar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
dara,10,Draga Dara radi. | Dara daruje raka. | Dara gradi grad. | Dara rado radi. | Dara daje dar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
daruje,2,Dara daruje raka.,ChatGPT Plus,manual_csv,strict_plain_list,S,sentence,yes,,,
dječak,3,dječak | Dječak češće čita,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,sentence;word,yes,,,
dječaka,2,Tješitelj tješi dječaka. | Teta tješi dječaka,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,sentence,yes,,,
dječeče,1,Dječeče čete šeću.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,no,,,
dječje,11,Dječje čete šetaju. | Tete šiju dječje šešire. | Teta čita dječje štivo. | Dječje čete kreću. | Dječje trešnje teže.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,sentence,yes,,,
dječji,2,dječji,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,word,yes,,,
dobar,3,Dobar kadar radi. | Dobar radar radi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
dolom,1,Golub leti dolom,ChatGPT Plus,manual_csv,strict_plain_list,SN,sentence,yes,,,
drag,8,drag | Dar drag raduje. | Drag rad raduje.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
draga,11,draga | Draga rada radi. | Draga krava pase. | Draga Dara radi. | Draga krava radi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
draž,4,draž,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
drvo,1,drvo,ChatGPT Plus,manual_csv,paper_style,S,word,yes,,,
dugo,20,Golub gladuje dugo. | Vol dugo boluje. | Glog dugo cvjeta. | Golub dugo guguće. | Lovac dugo lovi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S;SN,sentence,yes,,,
gladuje,1,Golub gladuje dugo.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,yes,,,
glava,2,glava,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
gleda,12,Lovac gleda goluba. | Vol gleda goluba. | Golub gleda glog. | Vol gleda goluba | Golub gleda glog,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
glog,27,glog | Vol voli glog. | Glog dugo cvjeta. | Glog golubi vole. | Golub gleda glog.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
gloga,2,gloga,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
glogom,1,glogom,ChatGPT Plus,manual_csv,paper_style,SN,word,yes,,,
glogu,2,glogu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
gluh,4,gluh | Gluh vol voli,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
gluhi,3,gluhi,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
gol,6,gol | Glog raste gol | Gol vol voli,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
gola,1,gola,ChatGPT Plus,manual_csv,paper_style,SN,word,yes,,,
goli,2,goli,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
golo,4,golo,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
golog,1,golog,ChatGPT Plus,manual_csv,paper_style,SN,word,no,,,
golom,1,golom,ChatGPT Plus,manual_csv,paper_style,SN,word,yes,,,
golub,28,golub | Golub lovi vola. | Golub gladuje dugo. | Golub voli volju. | Golub dugo guguće.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
goluba,10,Lovac lovi goluba. | Vuk lovi goluba. | Lovac gleda goluba. | Vol gleda goluba. | Lovac lovi goluba,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
golubi,2,Glog golubi vole. | Glog dugo golubi.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,no,,,
golubove,2,Lovac voli golubove. | Golub voli golubove.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,yes,,,
gori,3,Lovor dugo gori | Lovor dugo gori. | Glog dugo gori,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
govor,2,govor,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
govori,2,Lovac govori dugo. | Lovac govori dugo,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
grad,5,grad | Dara gradi grad. | Dabar gradi grad. | Kadar gradi grad.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
gradi,10,Dabar gradi branu. | Radnik gradi kuću. | Dara gradi grad. | Dabar gradi radar. | Radnik gradi radar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
grije,1,Žar jako grije.,ChatGPT Plus,manual_csv,paper_style,S,sentence,yes,,,
guguće,5,Golub dugo guguće. | Golub guguće dugo | Golub dugo guguće | Golub guguće dugo.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
gulaš,1,gulaš,ChatGPT Plus,manual_csv,paper_style,SN,word,yes,,,
gumu,2,Mama pumpa gumu. | Unuk pumpa gumu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
hljeb,1,Golub lovi hljeb.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,yes,,,
hvala,2,hvala,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
jako,2,Vatra jako žari. | Žar jako grije.,ChatGPT Plus,manual_csv,paper_style,S,sentence,yes,,,
jarak,10,jarak | Ratar kopa jarak. | Ratar ore jarak. | Dara kopa jarak.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
je,4,Teta je tiše čitala. | Teta je češće šetala. | Teško je četama. | Četvrt je tiše.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,yes,,,
jedu,1,Ježevi jedu trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,yes,,,
jesti,2,jesti,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,word,yes,,,
ječam,2,ječam,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,word,yes,,,
ječanje,2,ječanje,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,word,no,,,
ječati,4,ječati,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,word,yes,,,
ječe,3,Čete često ječe | Čete često ječe.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,sentence,yes,,,
ježa,2,Četiri ježa šetaju. | Četiri ježa šetaju,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SV,sentence,yes,,,
ježevi,2,Ježevi jedu trešnje. | Ježevi traže trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,yes,,,
kadar,18,kadar | Kadar radnik radi. | Dobar kadar radi. | Kadar ratar ore. | Kadar radi rado.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
kanal,1,Radnik kopa kanal.,ChatGPT Plus,manual_csv,strict_plain_list,S,sentence,yes,,,
kara,2,Kara rado radi. | kara,ChatGPT Plus,manual_csv,paper_style,S,sentence;word,yes,,,
karakazan,1,Karakazan dugo radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,no,,,
karat,4,karat,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
karda,2,karda,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,no,,,
karika,4,karika,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
katarina,1,Katarina radi danas.,ChatGPT Plus,manual_csv,strict_plain_list,S,sentence,yes,,,
kopa,6,Ratar kopa jarak. | Radnik kopa kanal. | Dara kopa jarak.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
krade,6,Kradljivac krade dar. | Ratar krade rak. | Ratar krade dar. | Kadar krade raka.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
kradljivac,2,Kradljivac krade dar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
krak,4,krak,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
krava,8,krava | Krava rado pase. | Krava daje dar. | Draga krava pase. | Draga krava radi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
kreću,1,Dječje čete kreću.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,yes,,,
kupuje,2,Mama kupuje bundu. | Mama kupuje pumpu.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
kuću,1,Radnik gradi kuću.,ChatGPT Plus,manual_csv,strict_plain_list,S,sentence,yes,,,
kvari,3,Radar kvari rad.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
leti,1,Golub leti dolom,ChatGPT Plus,manual_csv,strict_plain_list,SN,sentence,yes,,,
lov,10,lov | Lovac voli lov. | Lovac voli lov | Vol voli lov. | Vol voli lov,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
lova,2,lova,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
lovac,17,lovac | Lovac lovi goluba. | Lovac voli lov. | Lovac lovi vuka. | Lovac gleda goluba.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
lovi,13,Golub lovi vola. | Lovac lovi goluba. | Lovac lovi vuka. | Vuk lovi goluba. | Lovac dugo lovi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence,yes,,,
lovom,2,lovom,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
lovor,15,lovor | Golub voli lovor | Lovor voli vlagu | Lovor dugo gori | Golub voli lovor.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
lovu,2,lovu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
lula,2,lula,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
mama,22,Mama mumlja punu bundu. | Mama budi Nenu. | Mama pumpa gumu. | Mama puni pumpu. | Mama nudi bunar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
mami,6,Buba mami Nenu. | Buba mumlja mami. | Nina mami unuka. | Unuk mumlja mami. | Buba bubnja mami.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
mamin,2,Mamin unuk bubnja. | Mamin bunar pupa.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
mamu,5,Neno budi mamu. | Buba budi mamu. | Nina nudi mamu. | Unuk nudi mamu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
mima,2,Mima puni bunar. | Mima nudi bunu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
mumlja,7,Mama mumlja punu bundu. | Buba mumlja mami. | Unuk mumlja mami. | Nina mumlja puno. | Mama mumlja puno.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
mumljanje,2,mumljanje,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,no,,,
mumljati,2,mumljati,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
muna,1,Muna puni pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
munja,5,munja | Bunar puni munja.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
munjina,1,munjina,ChatGPT Plus,manual_csv,strict_plain_list,N,word,yes,,,
munju,1,munju,ChatGPT Plus,manual_csv,strict_plain_list,N,word,yes,,,
nena,2,Nena puni pumpu. | Nena budi babu.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
neno,2,Neno pumpa bunar. | Neno budi mamu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
nenu,2,Buba mami Nenu. | Mama budi Nenu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
nina,5,Nina puni bubanj. | Nina mami unuka. | Nina mumlja puno. | Nina nudi mamu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
ninu,1,Bubnjar budi Ninu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
niz,8,niz | Zec sjedi niz zid | Zec siđe niz zid. | Zec visi niz zid. | Sin siđe niz zid.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
nosi,15,Unuk nosi bundu. | Unuk nosi pupu. | Buba nosi bundu. | Vol nosi plug | Zec nosi sir.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N;SN;V,sentence,yes,,,
nudi,8,Mima nudi bunu. | Mama nudi bunar. | Nina nudi mamu. | Mama nudi bananu. | Baba nudi pumu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence,yes,,,
numbat,1,numbat,ChatGPT Plus,manual_csv,paper_style,N,word,no,,,
olovo,3,olovo,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,word,yes,,,
ore,2,Kadar ratar ore. | Ratar ore jarak.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
pada,1,Buba pada u bunar.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
pas,4,Sivi pas sjedi. | Pas nosi sir. | Sivi pas sjedi | Pas nosi sir,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
pase,3,Krava rado pase. | Draga krava pase.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
plete,1,Mama plete punđu.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
plug,6,plug | Vol vuče plug. | Vol vuče plug | Vol nosi plug,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,SN,sentence;word,yes,,,
psi,8,Sivi psi sjede. | Sivi psi cvile. | Sivi psi sjede | Sivi psi cvile,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
pumpa,18,pumpa | Neno pumpa bunar. | Mama pumpa gumu. | Unuk pumpa gumu. | Mama pumpa pumpu.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
pumpe,2,pumpe,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
pumpu,18,Muna puni pumpu. | Mama puni pumpu. | Nena puni pumpu. | Mama kupuje pumpu. | pumpu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
pumu,1,Baba nudi pumu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
pun,4,pun,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
puna,4,puna,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
puni,32,puni | Mima puni bunar. | Muna puni pumpu. | Nina puni bubanj. | Bubanj puni buku.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
punina,2,punina,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,word,yes,,,
punjenje,1,punjenje,ChatGPT Plus,manual_csv,strict_plain_list,N,word,yes,,,
puno,8,puno | Nina mumlja puno. | Baba pumpa puno. | Mama mumlja puno. | Baba mumlja puno.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
punu,3,Mama mumlja punu bundu. | punu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,N,sentence;word,yes,,,
punđu,1,Mama plete punđu.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
pupa,1,Mamin bunar pupa.,ChatGPT Plus,manual_csv,paper_style,N,sentence,yes,,,
pupu,1,Unuk nosi pupu.,ChatGPT Plus,manual_csv,strict_plain_list,N,sentence,yes,,,
rad,13,rad | Rad daje dar. | Radar kvari rad. | Drag rad raduje. | Ratar radi rad.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
rada,2,Draga rada radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,yes,,,
radar,15,radar | Radar radi danas. | Dobar radar radi. | Radar kvari rad. | Radar rado radi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
radarka,1,Radarka radi rado.,ChatGPT Plus,manual_csv,strict_plain_list,S,sentence,no,,,
radi,31,Radnik rado radi. | Kadar radnik radi. | Ratar radi rado. | Dobar kadar radi. | Karakazan dugo radi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
radnik,7,Radnik rado radi. | Kadar radnik radi. | Radnik gradi kuću. | Radnik kopa kanal. | Radnik gradi radar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
rado,13,Radnik rado radi. | Krava rado pase. | Ratar radi rado. | Kara rado radi. | Kadar radi rado.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
raduje,5,Dar drag raduje. | Drag rad raduje. | Dar raduje ratara.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
rak,6,rak | Ratar krade rak.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
raka,3,Dara daruje raka. | Kadar krade raka.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence,yes,,,
rana,3,rana,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
raste,1,Glog raste gol,ChatGPT Plus,manual_csv,strict_plain_list,SN,sentence,yes,,,
ratar,24,ratar | Ratar radi rado. | Kadar ratar ore. | Ratar kopa jarak. | Ratar daje dar.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,sentence;word,yes,,,
ratara,1,Dar raduje ratara.,ChatGPT Plus,manual_csv,paper_style,S,sentence,yes,,,
raž,3,raž,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
ruka,4,ruka,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,S,word,yes,,,
sici,2,sici,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,no,,,
sicu,2,sicu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,no,,,
sije,3,Zec sije sijeno. | Sin sije sjeme. | Sin sije sjeme,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
sijeno,4,sijeno | Zec sije sijeno. | Zec siše sijeno | Zec nosi sijeno,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
sin,27,sin | Sin sije sjeme. | Sisa sin cicu. | Sivi sin čisti. | Sin nosi cipele.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
sine,2,sine,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sinu,1,sinu,ChatGPT Plus,manual_csv,paper_style,V,word,yes,,,
sir,11,sir | Zec nosi sir. | Pas nosi sir. | Cica nosi sir. | Zec nosi sir,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
sisa,19,sisa | Sisa sin cicu. | Zec sisa ciku. | Sin sisa ciku | Zec sisa cicu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
sisati,4,sisati,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sisavac,1,sisavac,ChatGPT Plus,manual_csv,paper_style,V,word,yes,,,
sisi,9,sisi | Sivi zec sisi. | Zec sisi ciku. | Cici zec sisi. | Sin visi sisi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
sisu,2,sisu,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sit,4,sit,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
siti,2,siti,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sito,2,sito,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
siv,4,siv,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sivci,2,sivci,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,word,yes,,,
sivi,39,sivi | Sivi zec sjedi. | Sivi zec zijeva. | Sivi zec visi. | Sivi pas sjedi.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence;word,yes,,,
siđe,5,Sivi zec siđe | Sivi zec siđe. | Zec siđe niz zid. | Sin siđe niz zid.,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
siše,4,Zec siše sijeno | Sin siše cicu | Zec siše cicu | Sivi zec siše,ChatGPT Plus,manual_csv,strict_plain_list,V,sentence,yes,,,
sjede,4,Sivi psi sjede. | Sivi psi sjede,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
sjedi,9,Sivi zec sjedi. | Sivi pas sjedi. | Sivi zec sjedi | Zec sjedi niz zid | Sivi pas sjedi,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
sjeme,2,Sin sije sjeme. | Sin sije sjeme,ChatGPT Plus,manual_csv,paper_style;strict_plain_list,V,sentence,yes,,,
skače,1,Cici zec skače.,ChatGPT Plus,manual_csv,paper_style,V,sentence,yes,,,
