word,hunspell_valid,source_candidates_count,example_candidates,models,source_adapters,prompt_strategies,target_classes,text_types,priority,review_reason,manual_hjp_valid,reviewer_notes
dječji,yes,4,dječji,ChatGPT Plus,manual_csv,paper_style,SV,word,medium,high_frequency_word,,
drag,yes,2,drag; Rad daje drag dar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,low,hunspell_valid_or_not_screened,,
draga,yes,10,draga; Draga kava daje rad.; Rak kopa kraj draga.; Draga Dara radi.; Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
draž,yes,7,draž; Kadar daje draž.; Radar traži draž.; Rak daje draž.; Rad stvara draž.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,high,rare_phoneme_word,,
družba,yes,2,družba,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
država,yes,2,država,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
dugo,yes,1,Golub dugo gleda.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
garaža,yes,1,garaža,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
glava,yes,1,glava,ChatGPT Plus,manual_csv,paper_style,SN,word,low,hunspell_valid_or_not_screened,,
gleda,yes,12,Vol gleda goluba.; Golub gleda vola.; Golub dugo gleda.; Golub gleda lovca.; Vola gleda golub.,ChatGPT Plus,manual_csv,paper_style,SN; S,sentence,medium,high_frequency_word,,
glog,yes,17,glog; Golub voli glog.; Vol voli glog.; Glog voli vlagu.; Glog gleda lovac.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
gol,yes,8,gol; Gol vol voli lov.; Gol vol voli glog.; Gol vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
goli,yes,3,Goli vol gleda glog.; Goli vol gleda lovor.; Goli golub voli glog.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
golo,yes,2,golo,ChatGPT Plus,manual_csv,paper_style,SN,word,low,hunspell_valid_or_not_screened,,
golog,yes,2,Golog vola vole.; Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
gologa,yes,1,gologa,ChatGPT Plus,manual_csv,paper_style,SN,word,low,hunspell_valid_or_not_screened,,
golom,yes,1,golom,ChatGPT Plus,manual_csv,paper_style,SN,word,low,hunspell_valid_or_not_screened,,
golub,yes,19,Golub voli lovor.; Golub voli glog.; Golub voli goluba.; Golub gleda vola.; Ohol golub guguće.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
goluba,yes,3,Golub voli goluba.; Lovac lovi goluba.; Vol gleda goluba.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
govor,yes,5,govor,ChatGPT Plus,manual_csv,paper_style,SN,word,medium,high_frequency_word,,
grada,yes,4,Radar radi kraj grada.; Kadar radi kraj grada.; Radar gleda kraj grada.; Krava pase kraj grada.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
građa,yes,1,građa,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
guguće,yes,1,Ohol golub guguće.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
hvata,yes,1,Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
i,yes,13,Sin i zec sjede.; Sin i psi sjede.; Zec i sin sjede.; Psi i zec sjede.; Sin i zec vise.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
ima,yes,8,Mama ima bundu.; Beba ima bundu.; Beba ima bubanj.; Bunar ima pumpu.; Unuk ima pun bubanj.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
iza,yes,7,Sin visi iza zida.; Sin sjedi iza zida.; Zec sjedi iza zida.; Psi sjede iza zida.; Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
janje,yes,1,Teta četka janje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,rare_phoneme_word,,
je,yes,2,Četka je čista.; Teta je četvrta.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
jede,yes,4,Teta jede trešnje.; Teta jede jetru.; Dijete jede češće.; Dijete jede trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
jedu,yes,1,Tete jedu trešnje.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
jelek,yes,1,Teta šije jelek.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
jetru,yes,2,Teta jede jetru.; Teta štedje jetru.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
jež,yes,4,jež,ChatGPT Plus,manual_csv,paper_style,SV,word,high,rare_phoneme_word,,
kadar,yes,28,kadar; Kadar radi kraj grada.; Kratak kadar daje rad.; Radar daje kratak kadar.; Kadar rada daje dar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
kamara,yes,2,Rak radi kraj kamara.; Rak čeka kraj kamara.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
karakter,yes,1,karakter,ChatGPT Plus,manual_csv,paper_style,S,word,low,hunspell_valid_or_not_screened,,
karka,no,1,karka,ChatGPT Plus,manual_csv,paper_style,S,word,high,hunspell_invalid_technical_candidate,,
kava,yes,1,Draga kava daje rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
kave,yes,1,Kadar kave daje rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
kopa,yes,1,Rak kopa kraj draga.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
kraj,yes,8,Radar radi kraj grada.; Rak radi kraj kamara.; Kadar radi kraj grada.; Rak kopa kraj draga.; Radar gleda kraj grada.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
kratak,yes,13,kratak; Kratak kadar daje rad.; Radar daje kratak kadar.; Kratak rad daje dar.; Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
krava,yes,2,Krava pase kraj grada.; Draga krava pase.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
kupuje,yes,2,Mama kupuje bundu.; Mama kupuje pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
kuću,yes,1,Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
kći,yes,1,Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
logo,yes,5,logo,ChatGPT Plus,manual_csv,paper_style,SN,word,medium,high_frequency_word,,
logor,yes,1,Golub voli logor.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
lov,yes,11,lov; Lovac voli lov.; Vuk voli lov.; Vol voli lov.; Gol vol voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
lovac,yes,4,Lovac lovi goluba.; Lovac voli lov.; Lovac lovi vuka.; Glog gleda lovac.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,medium,high_frequency_word,,
lovca,yes,1,Golub gleda lovca.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
love,yes,1,Golog vola love.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
lovi,yes,2,Lovac lovi goluba.; Lovac lovi vuka.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
lovor,yes,15,lovor; Golub voli lovor.; Lovor voli vlagu.; Lovor gleda golub.; Vol voli lovor.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
lovora,yes,1,Vol voli lovora.,ChatGPT Plus,manual_csv,paper_style,SN,sentence,low,hunspell_valid_or_not_screened,,
mama,yes,10,Mama puni bunar.; Mama kupuje bundu.; Mama nosi pumpu.; Mama kupuje pumpu.; Mama nudi bombon.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
mami,yes,1,Unuk pomaže mami.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
munja,yes,1,munja,ChatGPT Plus,manual_csv,paper_style,N,word,high,rare_phoneme_word,,
munju,yes,1,Pumpa ima punu munju.,ChatGPT Plus,manual_csv,paper_style,N,sentence,high,rare_phoneme_word,,
nagrada,yes,1,nagrada,ChatGPT Plus,manual_csv,paper_style,S,word,low,hunspell_valid_or_not_screened,,
napuniti,yes,2,napuniti,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
nosi,yes,5,Mama nosi pumpu.; Mama nosi bundu.; Beba nosi bundu.; Beba nosi bubanj.; Unuk nosi bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
nudi,yes,3,Mama nudi bombon.; Beba nudi bananu.; Unuk nudi punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
ohol,yes,9,ohol; Ohol golub guguće.; Ohol golub voli lovor.; Ohol golub voli glog.; Ohol vol voli lov.,ChatGPT Plus,manual_csv,paper_style,SN,word; sentence,medium,high_frequency_word,,
opnu,yes,1,Bubanj ima punu opnu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
pase,yes,2,Krava pase kraj grada.; Draga krava pase.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
pere,yes,1,Mama pere bundu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
piše,yes,2,Teta piše teze.; Dijete piše test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
pomaže,yes,6,Mama pomaže unuku.; Unuk pomaže mami.; Puna pumpa pomaže bunaru.; Puna pumpa puno pomaže.; Bubanj puno pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,high,rare_phoneme_word,,
psi,yes,18,Sivi psi sjede.; Sin i psi sjede.; Sivi psi sikću.; Psi i zec sjede.; Psi sjede iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
pumpa,yes,13,pumpa; Pumpa puni bazen.; Pumpa puni bocu.; Puna pumpa puni pumpu.; Pumpa puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
pumpu,yes,8,Mama nosi pumpu.; Mama kupuje pumpu.; Bunar ima pumpu.; Puna pumpa puni pumpu.; Pumpa puni punu pumpu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
pun,yes,8,pun; Pumpu puni pun unuk.; Unuk ima pun bubanj.; Bubanj puni pun bunar.; Pun bubanj puno bruji.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
puna,yes,8,puna; Puna pumpa puni pumpu.; Puna pumpa puni bunar.; Puna pumpa pomaže bunaru.; Puna pumpa puno pomaže.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
puni,yes,15,Mama puni bunar.; Mama puni bocu.; Pumpa puni bazen.; Pumpa puni bocu.; Unuk puni bocu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
punim,yes,1,punim,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
punina,yes,3,punina,ChatGPT Plus,manual_csv,paper_style,N,word,medium,high_frequency_word,,
puniti,yes,1,puniti,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
puno,yes,3,Pun bubanj puno bruji.; Puna pumpa puno pomaže.; Bubanj puno pomaže unuku.,ChatGPT Plus,manual_csv,paper_style,N,sentence,medium,high_frequency_word,,
punom,yes,2,punom; Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,low,hunspell_valid_or_not_screened,,
punu,yes,12,punu; Pumpa puni punu pumpu.; Bubanj puni punu sobu.; Unuk puni punu pumpu.; Bubanj puni punu kuću.,ChatGPT Plus,manual_csv,paper_style,N,word; sentence,medium,high_frequency_word,,
pup,yes,1,pup,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
pupak,yes,1,pupak,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
pupnuti,no,2,pupnuti,ChatGPT Plus,manual_csv,paper_style,N,word,high,hunspell_invalid_technical_candidate,,
pupoljak,yes,1,pupoljak,ChatGPT Plus,manual_csv,paper_style,N,word,high,rare_phoneme_word,,
pupom,yes,1,pupom,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
pupu,yes,1,pupu,ChatGPT Plus,manual_csv,paper_style,N,word,low,hunspell_valid_or_not_screened,,
rad,yes,18,rad; Draga kava daje rad.; Kratak kadar daje rad.; Rad daje drag dar.; Kratak rad daje dar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
rada,yes,2,Kadar rada daje dar.; Radar rada daje kadar.,ChatGPT Plus,manual_csv,paper_style,S,sentence,low,hunspell_valid_or_not_screened,,
radar,yes,16,radar; Radar radi kraj grada.; Radar daje kratak kadar.; Radar gleda kraj grada.; Radar hvata kratak kadar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
radara,yes,3,Dara radi kraj radara.; Rad radara daje kadar.; Kadar radara traje.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
radi,yes,6,Radar radi kraj grada.; Rak radi kraj kamara.; Kadar radi kraj grada.; Draga Dara radi.; Draga kći radi.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
rak,yes,11,rak; Rak radi kraj kamara.; Rak kopa kraj draga.; Rak čeka kraj kamara.; Rak daje dar.,ChatGPT Plus,manual_csv,paper_style,S,word; sentence,medium,high_frequency_word,,
ratar,yes,1,ratar,ChatGPT Plus,manual_csv,paper_style,S,word,low,hunspell_valid_or_not_screened,,
razrada,yes,3,razrada,ChatGPT Plus,manual_csv,paper_style,S,word,medium,high_frequency_word,,
rađa,yes,1,rađa,ChatGPT Plus,manual_csv,paper_style,S,word,high,rare_phoneme_word,,
rukom,yes,1,Unuk bubnja punom rukom.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
sici,yes,1,sici,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
sije,yes,2,Sin sije sitno sjeme.; Sin sije iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
sijeno,yes,1,Zec sisa sitno sijeno.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
sikću,yes,6,Sivi psi sikću.; Sin i zec sikću.; Sin i psi sikću.; Psi i zec sikću.; Sivi svisci sikću.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
sin,yes,17,sin; Sin i zec sjede.; Sin i psi sjede.; Sin visi iza zida.; Zec i sin sjede.,ChatGPT Plus,manual_csv,paper_style,V,word; sentence,medium,high_frequency_word,,
sisa,yes,5,sisa; Zec sisa sitno sijeno.; Sivi zec sisa.,ChatGPT Plus,manual_csv,paper_style,V,word; sentence,medium,high_frequency_word,,
sisati,yes,3,sisati,ChatGPT Plus,manual_csv,paper_style,V,word,medium,high_frequency_word,,
sisavac,yes,2,sisavac,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
sisci,no,1,sisci,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
sise,yes,1,sise,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
sisi,yes,2,sisi,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
sisic,no,1,sisic,ChatGPT Plus,manual_csv,paper_style,V,word,high,hunspell_invalid_technical_candidate,,
sisu,yes,1,sisu,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
sit,yes,3,sit,ChatGPT Plus,manual_csv,paper_style,V,word,medium,high_frequency_word,,
sitno,yes,2,Sin sije sitno sjeme.; Zec sisa sitno sijeno.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
siv,yes,3,siv,ChatGPT Plus,manual_csv,paper_style,V,word,medium,high_frequency_word,,
sivi,yes,20,Sivi zec sjedi.; Sivi psi sjede.; Sivi zec visi.; Sivi psi sikću.; Sivi zec zijeva.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
sići,yes,2,sići,ChatGPT Plus,manual_csv,paper_style,V,word,low,hunspell_valid_or_not_screened,,
siđe,yes,3,Sivi zec siđe.; Sin siđe iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,high,rare_phoneme_word,,
siđi,yes,1,siđi,ChatGPT Plus,manual_csv,paper_style,V,word,high,rare_phoneme_word,,
siđu,yes,7,Psi siđu iza zida.; Sivi psi siđu.; Sin i zec siđu.; Sin i psi siđu.; Psi i zec siđu.,ChatGPT Plus,manual_csv,paper_style,V,sentence,high,rare_phoneme_word,,
siši,yes,1,Sivi zec siši.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
sišu,yes,2,Sivi psi sišu.; Sivi svisci sišu.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
sjede,yes,6,Sivi psi sjede.; Sin i zec sjede.; Sin i psi sjede.; Zec i sin sjede.; Psi i zec sjede.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
sjedi,yes,3,Sivi zec sjedi.; Sin sjedi iza zida.; Zec sjedi iza zida.,ChatGPT Plus,manual_csv,paper_style,V,sentence,medium,high_frequency_word,,
sjeme,yes,1,Sin sije sitno sjeme.,ChatGPT Plus,manual_csv,paper_style,V,sentence,low,hunspell_valid_or_not_screened,,
sobu,yes,1,Bubanj puni punu sobu.,ChatGPT Plus,manual_csv,paper_style,N,sentence,low,hunspell_valid_or_not_screened,,
stvara,yes,3,Radar stvara kadar.; Rad stvara draž.; Kadar stvara rad.,ChatGPT Plus,manual_csv,paper_style,S,sentence,medium,high_frequency_word,,
svisci,yes,5,svisci; Sivi svisci vise.; Sivi svisci siđu.; Sivi svisci sikću.; Sivi svisci sišu.,ChatGPT Plus,manual_csv,paper_style,V,word; sentence,medium,high_frequency_word,,
tekst,yes,1,Dijete čita tekst.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
teku,yes,1,Dječje teze teku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
test,yes,3,Teta čita test.; Dijete piše test.; Dječak čita test.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
teta,yes,19,Teta čita teze.; Teta čita test.; Teta piše teze.; Teta šeće cestom.; Teta čisti četku.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
tete,yes,5,tete; Tete češće šije.; Tete šetnje teče.; Tete jedu trešnje.; Tete češće teže.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,medium,high_frequency_word,,
tetka,yes,4,tetka,ChatGPT Plus,manual_csv,paper_style,SV,word,medium,high_frequency_word,,
tetke,yes,1,tetke,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
tetu,yes,2,Četka čeka tetu.; Dijete čuje tetu.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,low,hunspell_valid_or_not_screened,,
teze,yes,4,Teta čita teze.; Teta piše teze.; Dječje teze teku.; Tezej čita teze.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,medium,high_frequency_word,,
tezej,no,1,Tezej čita teze.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,hunspell_invalid_technical_candidate,,
teći,yes,3,teći,ChatGPT Plus,manual_csv,paper_style,SV,word,medium,high_frequency_word,,
tečaj,yes,8,tečaj; Tečaj teče četvrtkom.; Tečaj teče češće.; Češće teče tečaj.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,medium,high_frequency_word,,
tečaje,no,4,tečaje; Teta šteđe tečaje.; Tečaje češće čuje.; Teta čuje tečaje.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,high,hunspell_invalid_technical_candidate,,
tečajevi,yes,1,tečajevi,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
teče,yes,6,teče; Tečaj teče četvrtkom.; Teta teče češće.; Tete šetnje teče.; Tečaj teče češće.,ChatGPT Plus,manual_csv,paper_style,SV,word; sentence,medium,high_frequency_word,,
tečete,yes,1,tečete,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
teže,yes,1,Tete češće teže.,ChatGPT Plus,manual_csv,paper_style,SV,sentence,high,rare_phoneme_word,,
tješe,yes,1,tješe,ChatGPT Plus,manual_csv,paper_style,SV,word,low,hunspell_valid_or_not_screened,,
tješete,no,1,tješete,ChatGPT Plus,manual_csv,paper_style,SV,word,high,hunspell_invalid_technical_candidate,,
tješitelj,yes,2,tješitelj,ChatGPT Plus,manual_csv,paper_style,SV,word,high,rare_phoneme_word,,
