candidate_id,candidate,normalized_text,tts_adapter,tts_model_or_voice,audio_path,target_class,saturation_level,text_type,prompt_strategy,human_intelligibility_score,human_naturalness_score,pronunciation_notes,clinical_suitability_notes
20260604_160319_00757,Sivi zec sisi.,sivi zec sisi,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00757.wav,V,70.0,sentence,paper_style,3,3,,
20260604_160319_00757,Sivi zec sisi.,sivi zec sisi,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00757.wav,V,70.0,sentence,paper_style,5,3,,
20260604_160319_00757,Sivi zec sisi.,sivi zec sisi,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00757.wav,V,70.0,sentence,paper_style,5,5,,
20260604_160319_00000,buba,buba,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00000.wav,N,50.0,word,paper_style,1,1,,
20260604_160319_00000,buba,buba,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00000.wav,N,50.0,word,paper_style,5,5,,
20260604_160319_00000,buba,buba,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00000.wav,N,50.0,word,paper_style,5,5,,
20260604_160319_00084,punu,punu,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00084.wav,N,70.0,word,paper_style,4,4,,
20260604_160319_00084,punu,punu,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00084.wav,N,70.0,word,paper_style,5,5,,
20260604_160319_00084,punu,punu,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00084.wav,N,70.0,word,paper_style,3,3,,
20260604_160319_00320,rad,rad,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00320.wav,S,50.0,word,paper_style,3,3,,
20260604_160319_00320,rad,rad,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00320.wav,S,50.0,word,paper_style,5,5,,
20260604_160319_00320,rad,rad,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00320.wav,S,50.0,word,paper_style,5,5,,
20260604_160319_00419,kara,kara,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00419.wav,S,70.0,word,paper_style,1,1,,
20260604_160319_00419,kara,kara,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00419.wav,S,70.0,word,paper_style,4,3,,
20260604_160319_00419,kara,kara,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00419.wav,S,70.0,word,paper_style,4,4,,
20260604_160319_00160,vol,vol,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00160.wav,SN,50.0,word,paper_style,1,1,,
20260604_160319_00160,vol,vol,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00160.wav,SN,50.0,word,paper_style,5,4,,
20260604_160319_00160,vol,vol,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00160.wav,SN,50.0,word,paper_style,2,2,,
20260604_160319_00243,volom,volom,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00243.wav,SN,70.0,word,paper_style,1,1,,
20260604_160319_00243,volom,volom,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00243.wav,SN,70.0,word,paper_style,4,3,,
20260604_160319_00243,volom,volom,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00243.wav,SN,70.0,word,paper_style,2,2,,
20260604_160319_00480,tečaj,tečaj,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00480.wav,SV,50.0,word,paper_style,2,2,,
20260604_160319_00480,tečaj,tečaj,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00480.wav,SV,50.0,word,paper_style,4,3,,
20260604_160319_00480,tečaj,tečaj,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00480.wav,SV,50.0,word,paper_style,1,1,,
20260604_160319_00558,tete,tete,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00558.wav,SV,70.0,word,paper_style,1,1,,
20260604_160319_00558,tete,tete,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00558.wav,SV,70.0,word,paper_style,5,4,,
20260604_160319_00558,tete,tete,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00558.wav,SV,70.0,word,paper_style,1,1,,
20260604_160319_00637,sir,sir,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00637.wav,V,50.0,word,paper_style,1,1,,
20260604_160319_00637,sir,sir,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00637.wav,V,50.0,word,paper_style,5,3,,
20260604_160319_00637,sir,sir,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00637.wav,V,50.0,word,paper_style,3,4,,
20260604_160319_00727,sisi,sisi,coqui_vits_hr,tts_models/hr/cv/vits,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/coqui_vits_hr/20260604_160319_00727.wav,V,70.0,word,paper_style,1,1,,
20260604_160319_00727,sisi,sisi,espeak_ng,hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/espeak_ng/20260604_160319_00727.wav,V,70.0,word,paper_style,5,3,,
20260604_160319_00727,sisi,sisi,speecht5_hr,/mnt/d/Audiorehabilitation/models/speecht5_tts_hr,outputs/audio_comparison/task16_chatgpt_hjp_tts_subset/speecht5_hr/20260604_160319_00727.wav,V,70.0,word,paper_style,3,3,,
